_op,_source_ts,_connector_batch_id,line_item_id,invoice_id,product_id,description,quantity,unit_price,amount,tax_amount,created_at,updated_at
INSERT,2025-03-31 08:20:00,batch_033,10034,9050,7003,Commercial energy subscription,1,1329.00,1329.00,332.25,2025-03-31 08:20:00,2025-03-31 08:20:00
INSERT,2025-03-31 08:22:00,batch_033,10035,9050,7003,Commercial site assessment,1,399.00,399.00,99.75,2025-03-31 08:22:00,2025-03-31 08:22:00
INSERT,2025-04-28 08:20:00,batch_033,10036,9051,7003,Commercial energy subscription,1,1329.00,1329.00,332.25,2025-04-28 08:20:00,2025-04-28 08:20:00
INSERT,2025-04-01 09:25:00,batch_034,10037,9052,7002,Monthly energy subscription,1,319.00,319.00,79.75,2025-04-01 09:25:00,2025-04-01 09:25:00
INSERT,2025-04-01 09:27:00,batch_034,10038,9052,7004,Professional installation visit,1,249.00,249.00,62.25,2025-04-01 09:27:00,2025-04-01 09:27:00
INSERT,2025-04-29 09:25:00,batch_034,10039,9053,7002,Monthly energy subscription,1,319.00,319.00,79.75,2025-04-29 09:25:00,2025-04-29 09:25:00
INSERT,2025-04-01 10:30:00,batch_035,10040,9054,7003,Commercial energy subscription,1,1499.00,1499.00,374.75,2025-04-01 10:30:00,2025-04-01 10:30:00
INSERT,2025-04-01 10:32:00,batch_035,10041,9054,7003,Commercial site assessment,1,399.00,399.00,99.75,2025-04-01 10:32:00,2025-04-01 10:32:00
INSERT,2025-04-29 10:30:00,batch_035,10042,9055,7003,Commercial energy subscription,1,1499.00,1499.00,374.75,2025-04-29 10:30:00,2025-04-29 10:30:00
INSERT,2025-04-01 11:35:00,batch_036,10043,9056,7002,Monthly energy subscription,1,359.00,359.00,89.75,2025-04-01 11:35:00,2025-04-01 11:35:00
INSERT,2025-04-01 11:37:00,batch_036,10044,9056,7004,Professional installation visit,1,249.00,249.00,62.25,2025-04-01 11:37:00,2025-04-01 11:37:00
INSERT,2025-04-29 11:35:00,batch_036,10045,9057,7002,Monthly energy subscription,1,359.00,359.00,89.75,2025-04-29 11:35:00,2025-04-29 11:35:00
INSERT,2025-04-02 08:15:00,batch_037,10046,9058,7002,Monthly energy subscription,1,299.00,299.00,74.75,2025-04-02 08:15:00,2025-04-02 08:15:00
INSERT,2025-04-02 08:17:00,batch_037,10047,9058,7004,Professional installation visit,1,249.00,249.00,62.25,2025-04-02 08:17:00,2025-04-02 08:17:00
INSERT,2025-04-30 08:15:00,batch_037,10048,9059,7002,Monthly energy subscription,1,299.00,299.00,74.75,2025-04-30 08:15:00,2025-04-30 08:15:00
INSERT,2025-04-02 09:20:00,batch_038,10049,9060,7003,Commercial energy subscription,1,1399.00,1399.00,349.75,2025-04-02 09:20:00,2025-04-02 09:20:00
INSERT,2025-04-02 09:22:00,batch_038,10050,9060,7003,Commercial site assessment,1,399.00,399.00,99.75,2025-04-02 09:22:00,2025-04-02 09:22:00
INSERT,2025-04-30 09:20:00,batch_038,10051,9061,7003,Commercial energy subscription,1,1399.00,1399.00,349.75,2025-04-30 09:20:00,2025-04-30 09:20:00
INSERT,2025-04-02 10:25:00,batch_039,10052,9062,7002,Monthly energy subscription,1,449.00,449.00,112.25,2025-04-02 10:25:00,2025-04-02 10:25:00
INSERT,2025-04-02 10:27:00,batch_039,10053,9062,7004,Professional installation visit,1,249.00,249.00,62.25,2025-04-02 10:27:00,2025-04-02 10:27:00
INSERT,2025-04-30 10:25:00,batch_039,10054,9063,7002,Monthly energy subscription,1,449.00,449.00,112.25,2025-04-30 10:25:00,2025-04-30 10:25:00
